ticket_id,ticket_text
1,"hi so i ordered a bluetooth speaker like 9 days ago and it still says preparing for shipment??? i needed this for a trip this weekend this is ridiculous i want my money back"
2,"Order #48213 arrived today but it's the wrong color. I ordered black and got white. Not a huge deal but I'd like the correct item please."
3,"the package i got had a cracked screen on the tablet inside, box looked fine from outside but the tablet is clearly damaged. attaching photos. what do i do now"
4,"my card was charged twice for order 55210 and the site still shows payment failed, can someone check this asap i dont want to be charged again"
5,"Hi, just wanted to say the earbuds I ordered arrived early and work great! No issues, just wanted to give feedback."
6,"this is the third email im sending about my missing package nobody has responded in a week I AM DONE with this company"
7,"can u tell me y my delivery keeps getting rescheduled, ordrd on the 12th still nothing, was supposd to come 3 days ago"
8,"I used your app to order but the food never arrived and when I called the restaurant they said they don't use your platform at all, can you refund me"
9,"Return requested for order 39102 two weeks ago, courier picked it up, but I haven't received my refund yet. Can you check the status?"
10,"the winter jacket i bought is way too small even tho i ordered my usual size, is there a size chart issue or something"
11,"hey just checking in on my order status, no rush, just curious when it might ship"
12,"i think i was overcharged for shipping on my last two orders, the checkout page said free shipping over $50 and my order was $62"
13,"Extremely disappointed. Ordered a birthday gift with guaranteed 2-day delivery, paid extra for it, and it's now been 6 days with no updates. The event has already passed."
14,"account login isnt working keeps saying invalid password even after i reset it three times, this has nothing to do with an order but i need help"
15,"Received someone else's order in my package - a set of kitchen knives, not what I ordered at all (I ordered a phone case). Please advise."
16,"payment went through on my end but the order confirmation email never came, order number not visible anywhere on the site either"
17,"Wanted to ask about your return policy before I order, specifically for electronics - is there a restocking fee?"
18,"delivery guy left my package outside in the rain and now the box is soaked through, item inside might be damaged havent opened it yet"
